Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,15000.000000,15100.000000,14975.000000,15075.000000,15075.000000,16221200
2017-08-15,15025.000000,15100.000000,15000.000000,15050.000000,15050.000000,17169700
2017-08-16,15000.000000,15250.000000,15000.000000,15250.000000,15250.000000,14217700
2017-08-17,15250.000000,15250.000000,15250.000000,15250.000000,15250.000000,0
2017-08-18,15100.000000,15250.000000,14950.000000,15150.000000,15150.000000,15838300
2017-08-21,15000.000000,15275.000000,15000.000000,15275.000000,15275.000000,19259600
2017-08-22,15150.000000,15350.000000,15150.000000,15300.000000,15300.000000,23000300
2017-08-23,15350.000000,15350.000000,15225.000000,15300.000000,15300.000000,11783800
2017-08-24,15275.000000,15350.000000,15150.000000,15225.000000,15225.000000,10170100
2017-08-25,15350.000000,15350.000000,15225.000000,15300.000000,15300.000000,12658900
2017-08-28,15300.000000,15300.000000,15150.000000,15225.000000,15225.000000,6728300
2017-08-29,15150.000000,15175.000000,14900.000000,14975.000000,14975.000000,15837700
2017-08-30,14975.000000,15125.000000,14925.000000,15075.000000,15075.000000,10879800
2017-08-31,15125.000000,15175.000000,15050.000000,15125.000000,15125.000000,11623600
2017-09-01,15125.000000,15125.000000,15125.000000,15125.000000,15125.000000,0
2017-09-04,14975.000000,15100.000000,14875.000000,14875.000000,14875.000000,12975400
2017-09-05,15125.000000,15125.000000,14800.000000,15000.000000,15000.000000,6357500
2017-09-06,14775.000000,14925.000000,14725.000000,14850.000000,14850.000000,18358600
