Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,870.000000,870.000000,840.000000,870.000000,839.496338,80730500
2005-09-30,900.000000,900.000000,870.000000,900.000000,868.444458,168188500
2005-10-03,890.000000,900.000000,860.000000,890.000000,858.795044,50362500
2005-10-04,880.000000,890.000000,870.000000,880.000000,849.145691,157814000
2005-10-05,890.000000,890.000000,860.000000,890.000000,858.795044,81749000
2005-10-06,null,null,null,null,null,null
2005-10-07,860.000000,870.000000,850.000000,860.000000,829.846924,21277000
2005-10-10,850.000000,860.000000,830.000000,850.000000,820.197510,20484500
2005-10-11,860.000000,860.000000,840.000000,860.000000,829.846924,77810000
2005-10-12,840.000000,860.000000,830.000000,840.000000,810.548157,33779500
2005-10-13,840.000000,840.000000,830.000000,840.000000,810.548157,7070000
2005-10-14,820.000000,830.000000,810.000000,820.000000,791.249390,67212000
2005-10-17,null,null,null,null,null,null
2005-10-18,820.000000,820.000000,810.000000,820.000000,791.249390,45405500
2005-10-19,790.000000,810.000000,780.000000,790.000000,762.301270,66534000
2005-10-20,null,null,null,null,null,null
2005-10-21,null,null,null,null,null,null
2005-10-24,null,null,null,null,null,null
2005-10-25,null,null,null,null,null,null
2005-10-26,null,null,null,null,null,null
2005-10-27,null,null,null,null,null,null
2005-10-28,null,null,null,null,null,null
2005-10-31,null,null,null,null,null,null
2005-11-01,800.000000,800.000000,780.000000,800.000000,771.950623,31142500
2005-11-07,null,null,null,null,null,null
2005-11-08,null,null,null,null,null,null
2005-11-09,null,null,null,null,null,null
2005-11-10,790.000000,790.000000,770.000000,790.000000,762.301270,24368500
2005-11-11,770.000000,790.000000,770.000000,770.000000,743.002502,34978500
2005-11-14,750.000000,770.000000,740.000000,750.000000,723.703674,73829000
2005-11-15,740.000000,750.000000,740.000000,740.000000,714.054321,16475000
2005-11-16,null,null,null,null,null,null
2005-11-17,null,null,null,null,null,null
2005-11-18,null,null,null,null,null,null
2005-11-21,760.000000,760.000000,740.000000,760.000000,733.353088,35412000
2005-11-22,750.000000,760.000000,740.000000,750.000000,723.703674,18839000
2005-11-23,740.000000,750.000000,720.000000,740.000000,714.054321,110461000
2005-11-24,null,null,null,null,null,null
2005-11-25,720.000000,730.000000,720.000000,720.000000,694.755615,6943000
2005-11-28,730.000000,740.000000,720.000000,730.000000,704.404968,42421500
2005-11-29,710.000000,730.000000,700.000000,710.000000,685.106140,78271500
2005-11-30,690.000000,710.000000,670.000000,690.000000,665.807434,87718500
2005-12-01,null,null,null,null,null,null
2005-12-02,710.000000,710.000000,690.000000,710.000000,685.106140,44348500
2005-12-05,null,null,null,null,null,null
2005-12-06,700.000000,710.000000,690.000000,700.000000,675.456787,31885000
2005-12-07,null,null,null,null,null,null
2005-12-08,760.000000,760.000000,740.000000,760.000000,733.353088,118806500
2005-12-09,780.000000,780.000000,750.000000,780.000000,752.651855,86992000
2005-12-12,770.000000,800.000000,760.000000,770.000000,743.002502,99696500
2005-12-13,null,null,null,null,null,null
2005-12-14,null,null,null,null,null,null
2005-12-15,760.000000,770.000000,760.000000,760.000000,733.353088,45954000
2005-12-16,null,null,null,null,null,null
2005-12-19,780.000000,790.000000,760.000000,780.000000,752.651855,78473000
2005-12-20,null,null,null,null,null,null
2005-12-21,780.000000,790.000000,770.000000,780.000000,752.651855,47644500
2005-12-22,null,null,null,null,null,null
2005-12-23,null,null,null,null,null,null
2005-12-26,null,null,null,null,null,null
2005-12-27,770.000000,780.000000,760.000000,770.000000,743.002502,23223000
2005-12-28,null,null,null,null,null,null
2005-12-29,null,null,null,null,null,null
2005-12-30,null,null,null,null,null,null
2006-01-02,null,null,null,null,null,null
2006-01-03,null,null,null,null,null,null
2006-01-04,null,null,null,null,null,null
2006-01-05,null,null,null,null,null,null
2006-01-06,null,null,null,null,null,null
2006-01-09,null,null,null,null,null,null
2006-01-10,null,null,null,null,null,null
2006-01-11,null,null,null,null,null,null
2006-01-12,null,null,null,null,null,null
2006-01-13,null,null,null,null,null,null
2006-01-16,null,null,null,null,null,null
2006-01-17,null,null,null,null,null,null
2006-01-18,null,null,null,null,null,null
2006-01-19,null,null,null,null,null,null
2006-01-20,null,null,null,null,null,null
2006-01-23,null,null,null,null,null,null
2006-01-24,null,null,null,null,null,null
2006-01-25,null,null,null,null,null,null
2006-01-26,null,null,null,null,null,null
2006-01-27,null,null,null,null,null,null
