Date,Open,High,Low,Close,Adj Close,Volume
2000-12-06,1600.000000,1650.000000,1500.000000,1650.000000,1383.952637,11527500
2000-12-07,1650.000000,1675.000000,1575.000000,1625.000000,1362.983398,12683000
2000-12-08,1650.000000,1675.000000,1600.000000,1600.000000,1342.014648,2563000
2000-12-11,1625.000000,1625.000000,1550.000000,1550.000000,1300.076660,702500
2000-12-12,1575.000000,1575.000000,1525.000000,1525.000000,1279.107544,393500
2000-12-13,1550.000000,1675.000000,1550.000000,1675.000000,1404.921509,7418000
2000-12-14,1700.000000,1775.000000,1650.000000,1675.000000,1404.921509,16721500
2000-12-15,1675.000000,1750.000000,1650.000000,1725.000000,1446.859375,6336500
2000-12-18,1725.000000,1725.000000,1675.000000,1700.000000,1425.890259,2251000
2000-12-19,1700.000000,1700.000000,1600.000000,1600.000000,1342.014648,1257000
2000-12-20,1600.000000,1625.000000,1600.000000,1600.000000,1342.014648,550000
2000-12-21,1600.000000,1600.000000,1575.000000,1575.000000,1321.045532,149500
2000-12-22,1575.000000,1600.000000,1575.000000,1600.000000,1342.014648,358500
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,1600.000000,1600.000000,1550.000000,1550.000000,1300.076660,105000
2001-01-03,1500.000000,1525.000000,1500.000000,1525.000000,1279.107544,246000
2001-01-04,1575.000000,1600.000000,1550.000000,1600.000000,1342.014648,642000
2001-01-05,1600.000000,1675.000000,1600.000000,1650.000000,1383.952637,3347500
2001-01-08,1700.000000,1725.000000,1600.000000,1600.000000,1342.014648,3360000
2001-01-09,1625.000000,1650.000000,1600.000000,1600.000000,1342.014648,675000
2001-01-10,1625.000000,1650.000000,1575.000000,1575.000000,1321.045532,921500
2001-01-11,1575.000000,1575.000000,1525.000000,1525.000000,1279.107544,1712500
2001-01-12,1525.000000,1525.000000,1500.000000,1500.000000,1258.138672,1363000
2001-01-15,1525.000000,1550.000000,1500.000000,1525.000000,1279.107544,563000
2001-01-16,1525.000000,1550.000000,1525.000000,1525.000000,1279.107544,236000
2001-01-17,1525.000000,1525.000000,1500.000000,1500.000000,1258.138672,173000
2001-01-18,1525.000000,1525.000000,1500.000000,1500.000000,1258.138672,1465500
2001-01-19,1500.000000,1500.000000,1500.000000,1500.000000,1258.138672,430500
2001-01-22,1500.000000,1550.000000,1500.000000,1500.000000,1258.138672,1030500
2001-01-23,1525.000000,1525.000000,1500.000000,1500.000000,1258.138672,54000
2001-01-24,1500.000000,1500.000000,1500.000000,1500.000000,1258.138672,79000
2001-01-25,1525.000000,1550.000000,1500.000000,1525.000000,1279.107544,757000
2001-01-26,1500.000000,1500.000000,1500.000000,1500.000000,1258.138672,261000
2001-01-29,1500.000000,1500.000000,1425.000000,1450.000000,1216.200806,765500
2001-01-30,1475.000000,1475.000000,1475.000000,1475.000000,1237.169678,213000
2001-01-31,1475.000000,1525.000000,1475.000000,1500.000000,1258.138672,1073000
2001-02-01,1525.000000,1525.000000,1475.000000,1500.000000,1258.138672,1181500
2001-02-02,1525.000000,1575.000000,1500.000000,1550.000000,1300.076660,4150000
2001-02-05,1575.000000,1575.000000,1475.000000,1475.000000,1237.169678,3099500
2001-02-06,1450.000000,1450.000000,1300.000000,1325.000000,1111.355835,4073000
2001-02-07,1300.000000,1300.000000,1225.000000,1250.000000,1048.448853,499000
2001-02-08,1250.000000,1275.000000,1250.000000,1250.000000,1048.448853,935000
2001-02-09,1225.000000,1250.000000,1225.000000,1225.000000,1027.479980,438000
2001-02-12,1200.000000,1225.000000,1000.000000,1225.000000,1027.479980,168000
2001-02-13,1225.000000,1225.000000,1225.000000,1225.000000,1027.479980,169500
2001-02-14,1225.000000,1250.000000,1225.000000,1250.000000,1048.448853,78000
2001-02-15,1250.000000,1250.000000,1225.000000,1225.000000,1027.479980,248500
2001-02-16,1225.000000,1225.000000,1200.000000,1200.000000,1006.510803,865500
2001-02-19,1225.000000,1225.000000,1200.000000,1225.000000,1027.479980,948500
2001-02-20,1200.000000,1225.000000,1200.000000,1225.000000,1027.479980,465000
2001-02-21,1200.000000,1200.000000,1200.000000,1200.000000,1006.510803,224500
2001-02-22,1200.000000,1200.000000,1200.000000,1200.000000,1006.510803,527000
2001-02-23,1200.000000,1200.000000,1200.000000,1200.000000,1006.510803,148500
2001-02-26,1200.000000,1200.000000,1200.000000,1200.000000,1006.510803,176500
2001-02-27,1175.000000,1200.000000,1175.000000,1200.000000,1006.510803,33000
2001-02-28,1200.000000,1200.000000,1175.000000,1175.000000,985.542053,327500
2001-03-01,1175.000000,1175.000000,1150.000000,1150.000000,964.572937,38000
2001-03-02,1175.000000,1175.000000,1150.000000,1175.000000,985.542053,82000
2001-03-05,null,null,null,null,null,null
2001-03-06,1175.000000,1400.000000,1175.000000,1400.000000,1174.263062,4578000
2001-03-07,1425.000000,1475.000000,1275.000000,1300.000000,1090.386963,8628000
2001-03-08,1300.000000,1300.000000,1225.000000,1250.000000,1048.448853,1306500
2001-03-09,1250.000000,1250.000000,1200.000000,1200.000000,1006.510803,354500
2001-03-12,1200.000000,1200.000000,1125.000000,1175.000000,985.542053,1187500
2001-03-13,1175.000000,1200.000000,1100.000000,1200.000000,1006.510803,1613500
2001-03-14,null,null,null,null,null,null
2001-03-15,1175.000000,1175.000000,1150.000000,1175.000000,985.542053,376000
2001-03-16,1175.000000,1250.000000,1175.000000,1175.000000,985.542053,1269000
2001-03-19,1175.000000,1200.000000,1150.000000,1175.000000,985.542053,794000
2001-03-20,1175.000000,1175.000000,1150.000000,1175.000000,985.542053,328500
2001-03-21,1175.000000,1200.000000,1150.000000,1150.000000,964.572937,1853000
2001-03-22,1150.000000,1150.000000,1150.000000,1150.000000,964.572937,265000
2001-03-23,1150.000000,1150.000000,1150.000000,1150.000000,964.572937,208500
2001-03-26,null,null,null,null,null,null
2001-03-27,1175.000000,1225.000000,1175.000000,1175.000000,985.542053,3376500
2001-03-28,1175.000000,1175.000000,1175.000000,1175.000000,985.542053,2211500
2001-03-29,1175.000000,1275.000000,1175.000000,1200.000000,1006.510803,4625500
2001-03-30,1225.000000,1275.000000,1200.000000,1200.000000,1006.510803,3539000
2001-04-02,1200.000000,1225.000000,1200.000000,1200.000000,1006.510803,2572000
2001-04-03,1175.000000,1175.000000,1150.000000,1175.000000,985.542053,729500
2001-04-04,1150.000000,1175.000000,1125.000000,1175.000000,985.542053,772000
2001-04-05,1175.000000,1175.000000,1125.000000,1125.000000,943.604187,267500
2001-04-06,1125.000000,1150.000000,1125.000000,1125.000000,943.604187,412500
2001-04-09,1150.000000,1150.000000,1125.000000,1125.000000,943.604187,167000
2001-04-10,1125.000000,1150.000000,1125.000000,1125.000000,943.604187,385500
2001-04-11,1150.000000,1150.000000,1125.000000,1125.000000,943.604187,415000
2001-04-12,1125.000000,1125.000000,1100.000000,1100.000000,922.635193,748500
2001-04-13,null,null,null,null,null,null
2001-04-16,1100.000000,1100.000000,1100.000000,1100.000000,922.635193,140000
2001-04-17,1100.000000,1100.000000,1075.000000,1100.000000,922.635193,87500
