Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,10700.000000,11000.000000,10625.000000,10975.000000,10975.000000,4135800
2017-08-15,11075.000000,11475.000000,11050.000000,11250.000000,11250.000000,6450700
2017-08-16,11125.000000,11175.000000,10850.000000,11025.000000,11025.000000,5790800
2017-08-17,11025.000000,11025.000000,11025.000000,11025.000000,11025.000000,0
2017-08-18,10975.000000,11150.000000,10900.000000,11000.000000,11000.000000,3692700
2017-08-21,11000.000000,11025.000000,10600.000000,10600.000000,10600.000000,3308100
2017-08-22,10600.000000,10775.000000,10475.000000,10550.000000,10550.000000,5138800
2017-08-23,10550.000000,10775.000000,10550.000000,10775.000000,10775.000000,5799800
2017-08-24,10950.000000,11025.000000,10825.000000,10900.000000,10900.000000,6433300
2017-08-25,10700.000000,10850.000000,10650.000000,10700.000000,10700.000000,1567900
2017-08-28,10725.000000,10800.000000,10525.000000,10600.000000,10600.000000,2751100
2017-08-29,10500.000000,10600.000000,10325.000000,10375.000000,10375.000000,5007800
2017-08-30,10450.000000,10475.000000,10325.000000,10400.000000,10400.000000,3037500
2017-08-31,10350.000000,10400.000000,10000.000000,10000.000000,10000.000000,7189100
2017-09-01,10000.000000,10000.000000,10000.000000,10000.000000,10000.000000,0
2017-09-04,10125.000000,10175.000000,10050.000000,10150.000000,10150.000000,2871500
2017-09-05,10300.000000,10300.000000,9875.000000,10225.000000,10225.000000,3016100
2017-09-06,10000.000000,10225.000000,10000.000000,10100.000000,10100.000000,4270800
