Date,Open,High,Low,Close,Adj Close,Volume
2009-06-12,7.000000,7.000000,7.000000,7.000000,0.213560,2000
2009-06-15,7.000000,7.490000,5.600000,6.050000,0.184577,321000
2009-06-16,5.750000,6.050000,3.630000,4.100000,0.125085,592100
2009-06-17,4.260000,4.260000,3.760000,4.120000,0.125695,1403100
2009-06-18,4.200000,4.870000,4.150000,4.750000,0.144915,659100
2009-06-19,5.300000,5.470000,4.900000,5.030000,0.153458,638800
2009-06-22,5.050000,5.110000,4.900000,5.040000,0.153763,316800
2009-06-23,5.100000,5.360000,4.890000,4.970000,0.151627,637100
2009-06-24,4.900000,5.000000,4.610000,4.790000,0.146136,225400
2009-06-25,5.360000,5.360000,4.550000,4.630000,0.141254,265600
2009-06-26,4.690000,4.700000,4.450000,4.570000,0.139424,489800
2009-06-29,4.650000,5.120000,4.650000,4.730000,0.144305,497200
2009-06-30,4.700000,4.900000,4.500000,4.650000,0.141865,549000
2009-07-01,4.250000,4.400000,3.870000,4.030000,0.122949,4167800
2009-07-02,3.900000,4.320000,3.810000,4.160000,0.126915,1867000
2009-07-06,4.050000,5.090000,4.050000,4.550000,0.138814,1167600
2009-07-07,4.600000,4.750000,4.360000,4.520000,0.137899,620100
2009-07-08,4.720000,4.720000,4.400000,4.450000,0.135763,575300
2009-07-09,4.500000,4.650000,4.160000,4.280000,0.130576,419600
2009-07-10,4.200000,4.400000,4.000000,4.210000,0.128441,512700
2009-07-13,4.220000,4.250000,4.050000,4.170000,0.127221,202900
2009-07-14,4.150000,4.210000,4.010000,4.190000,0.127831,544000
2009-07-15,4.200000,4.360000,4.070000,4.340000,0.132407,762000
2009-07-16,4.500000,4.600000,4.350000,4.550000,0.138814,755400
2009-07-17,4.590000,4.600000,4.350000,4.480000,0.136678,305900
2009-07-20,4.550000,4.600000,4.420000,4.480000,0.136678,201900
2009-07-21,4.520000,4.690000,4.410000,4.480000,0.136678,272500
2009-07-22,4.500000,4.620000,4.410000,4.500000,0.137288,225600
2009-07-23,4.550000,4.750000,4.500000,4.750000,0.144915,305000
2009-07-24,4.730000,4.910000,4.700000,4.810000,0.146746,346700
2009-07-27,4.790000,4.900000,4.700000,4.800000,0.146441,235400
2009-07-28,4.790000,4.900000,4.720000,4.830000,0.147356,239800
2009-07-29,4.740000,5.000000,4.650000,4.960000,0.151322,153100
2009-07-30,4.970000,5.000000,4.750000,4.890000,0.149187,121900
2009-07-31,4.840000,4.980000,4.800000,4.870000,0.148576,218800
2009-08-03,4.870000,4.960000,4.730000,4.830000,0.147356,119100
2009-08-04,4.710000,4.870000,4.710000,4.870000,0.148576,68900
2009-08-05,4.900000,5.030000,4.800000,4.810000,0.146746,169900
2009-08-06,4.780000,4.800000,4.650000,4.650000,0.141865,83200
2009-08-07,4.650000,4.760000,4.550000,4.690000,0.143085,169000
2009-08-10,4.620000,4.960000,4.540000,4.900000,0.149492,144600
2009-08-11,4.890000,4.970000,4.800000,4.860000,0.148271,186400
2009-08-12,4.850000,5.050000,4.710000,4.720000,0.144000,230600
2009-08-13,4.780000,5.000000,4.760000,4.890000,0.149187,237000
2009-08-14,4.920000,4.920000,4.770000,4.840000,0.147661,154300
2009-08-17,4.800000,4.890000,4.750000,4.860000,0.148271,162800
2009-08-18,4.910000,4.920000,4.830000,4.890000,0.149187,92800
2009-08-19,4.810000,4.960000,4.800000,4.880000,0.148882,46700
2009-08-20,4.920000,4.940000,4.860000,4.890000,0.149187,216200
2009-08-21,4.940000,4.940000,4.750000,4.910000,0.149797,155900
2009-08-24,4.930000,4.930000,4.500000,4.600000,0.140339,340700
2009-08-25,4.600000,4.710000,4.600000,4.640000,0.141560,101800
2009-08-26,4.610000,4.750000,4.600000,4.710000,0.143695,147900
2009-08-27,4.750000,4.750000,4.520000,4.600000,0.140339,236000
2009-08-28,4.500000,4.730000,4.500000,4.580000,0.139729,341500
2009-08-31,4.550000,4.650000,4.450000,4.500000,0.137288,262800
2009-09-01,4.500000,4.570000,4.400000,4.410000,0.134543,354700
2009-09-02,4.400000,4.420000,4.310000,4.360000,0.133017,127300
2009-09-03,4.420000,4.440000,4.300000,4.410000,0.134543,125900
2009-09-04,4.480000,4.480000,4.350000,4.420000,0.134848,149000
2009-09-08,4.500000,4.560000,4.230000,4.470000,0.136373,545700
2009-09-09,4.520000,4.730000,4.500000,4.630000,0.141254,243500
2009-09-10,4.650000,4.700000,4.570000,4.630000,0.141254,290500
2009-09-11,4.650000,5.130000,4.600000,4.840000,0.147661,1439100
2009-09-14,4.840000,6.410000,4.750000,5.540000,0.169017,5143100
2009-09-15,5.450000,5.640000,5.110000,5.600000,0.170848,1253100
2009-09-16,5.660000,6.320000,5.610000,6.180000,0.188543,1951900
2009-09-17,6.250000,6.390000,6.070000,6.180000,0.188543,979600
2009-09-18,6.200000,6.730000,6.110000,6.580000,0.200746,1002000
2009-09-21,6.570000,6.720000,6.260000,6.420000,0.195865,458500
2009-09-22,6.500000,6.800000,6.500000,6.770000,0.206543,541800
2009-09-23,6.740000,6.780000,6.470000,6.490000,0.198000,608500
2009-09-24,6.560000,6.560000,5.650000,5.860000,0.178780,689800
2009-09-25,5.880000,6.120000,5.800000,5.830000,0.177865,446500
2009-09-28,5.820000,6.230000,5.820000,5.930000,0.180916,337700
2009-09-29,5.950000,6.140000,5.950000,5.970000,0.182136,180100
2009-09-30,5.980000,6.060000,5.860000,5.860000,0.178780,213400
2009-10-01,5.850000,5.990000,5.580000,5.580000,0.170238,195300
2009-10-02,5.510000,5.650000,5.400000,5.600000,0.170848,273000
2009-10-05,5.620000,5.800000,5.620000,5.700000,0.173899,184700
2009-10-06,5.720000,5.950000,5.630000,5.690000,0.173593,185400
2009-10-07,5.720000,5.820000,5.560000,5.640000,0.172068,136000
2009-10-08,5.730000,5.860000,5.690000,5.730000,0.174814,127100
2009-10-09,5.800000,5.860000,5.680000,5.760000,0.175729,100500
2009-10-12,5.760000,5.840000,5.700000,5.780000,0.176339,50700
2009-10-13,5.810000,5.920000,5.780000,5.920000,0.180610,197400
2009-10-14,6.320000,6.500000,6.150000,6.400000,0.195255,713600
2009-10-15,6.390000,6.390000,6.200000,6.300000,0.192204,492100
2009-10-16,6.280000,6.380000,6.200000,6.270000,0.191288,172100
2009-10-19,6.280000,6.360000,6.260000,6.290000,0.191899,178900
2009-10-20,6.490000,6.680000,6.310000,6.310000,0.192509,684900
2009-10-21,6.350000,6.440000,6.200000,6.210000,0.189458,193400
2009-10-22,6.200000,6.430000,6.080000,6.360000,0.194034,145700
2009-10-23,6.410000,6.810000,6.230000,6.290000,0.191899,564600
2009-10-26,6.280000,6.460000,6.180000,6.360000,0.194034,247200
2009-10-27,6.350000,6.420000,6.220000,6.220000,0.189763,75000
2009-10-28,6.180000,6.180000,5.700000,5.700000,0.173899,301200
2009-10-29,5.780000,5.780000,5.620000,5.660000,0.172678,186900
2009-10-30,5.670000,5.700000,5.400000,5.520000,0.168407,266500
2009-11-02,5.510000,5.770000,5.280000,5.590000,0.170543,195400
2009-11-03,5.580000,5.640000,5.400000,5.610000,0.171153,180200
2009-11-04,5.600000,5.630000,5.340000,5.340000,0.162915,210100
2009-11-05,5.370000,5.650000,5.300000,5.610000,0.171153,215000
2009-11-06,5.590000,5.590000,5.320000,5.470000,0.166882,150200
2009-11-09,5.500000,5.610000,5.430000,5.510000,0.168102,121400
2009-11-10,5.490000,5.600000,5.270000,5.350000,0.163221,233200
2009-11-11,5.370000,5.500000,5.170000,5.220000,0.159254,151000
2009-11-12,5.190000,5.400000,5.070000,5.280000,0.161085,189900
2009-11-13,5.440000,6.070000,5.380000,5.810000,0.177254,426500
2009-11-16,6.200000,6.220000,5.890000,6.020000,0.183661,350000
2009-11-17,6.040000,6.090000,5.930000,5.980000,0.182441,125300
2009-11-18,6.000000,6.000000,5.120000,5.210000,0.158949,561800
2009-11-19,5.290000,5.420000,5.160000,5.300000,0.161695,270100
2009-11-20,5.300000,5.410000,5.270000,5.330000,0.162610,140100
2009-11-23,5.420000,5.450000,5.340000,5.350000,0.163221,99100
