Date,Open,High,Low,Close,Adj Close,Volume
2017-08-14,29600.000000,30000.000000,29575.000000,29900.000000,29900.000000,1882400
2017-08-15,29550.000000,30200.000000,29500.000000,30175.000000,30175.000000,2296400
2017-08-16,30175.000000,30275.000000,29625.000000,29975.000000,29975.000000,1982600
2017-08-17,29975.000000,29975.000000,29975.000000,29975.000000,29975.000000,0
2017-08-18,29900.000000,30150.000000,29000.000000,29475.000000,29475.000000,3902600
2017-08-21,29650.000000,29650.000000,28750.000000,28900.000000,28900.000000,2335600
2017-08-22,29050.000000,29600.000000,29050.000000,29550.000000,29550.000000,3101100
2017-08-23,29700.000000,29700.000000,29425.000000,29500.000000,29500.000000,1259100
2017-08-24,29700.000000,30500.000000,29600.000000,30475.000000,30475.000000,6593600
2017-08-25,30375.000000,30700.000000,29925.000000,30350.000000,30350.000000,1612800
2017-08-28,30600.000000,31000.000000,30200.000000,30600.000000,30600.000000,2128600
2017-08-29,30850.000000,30850.000000,30350.000000,30600.000000,30600.000000,1796700
2017-08-30,30400.000000,30600.000000,29975.000000,30300.000000,30300.000000,2802300
2017-08-31,30450.000000,30450.000000,29875.000000,30300.000000,30300.000000,2476100
2017-09-01,30300.000000,30300.000000,30300.000000,30300.000000,30300.000000,0
2017-09-04,30400.000000,30425.000000,29500.000000,29700.000000,29700.000000,1700500
2017-09-05,29850.000000,30400.000000,29700.000000,30400.000000,30400.000000,1883100
2017-09-06,30200.000000,30325.000000,30125.000000,30325.000000,30325.000000,1570400
