Company,Sector,Date,Horizon_days,Open,High,Low,Close,Adj_Close,Volume,Investment,Horizon_discretized
AALI,AUTO,2016-09-06,0,16500.0,16600.0,16450.0,16575.0,15651.923828,1040000.0,BAD,
AALI,AUTO,2016-09-07,1,16575.0,16725.0,16500.0,16725.0,15793.570313,1499500.0,BAD,
AALI,AUTO,2016-09-08,2,16725.0,16725.0,16450.0,16475.0,15557.493164,989800.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-09,3,16425.0,16450.0,16100.0,16350.0,15439.455078,743100.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-13,7,16350.0,16375.0,15800.0,15900.0,15014.515625,947000.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-14,8,15800.0,15800.0,15375.0,15450.0,14589.577148,935500.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-15,9,15300.0,15700.0,15300.0,15650.0,14778.438477,1802700.0,GOOD,"(1, 31]"
AALI,AUTO,2016-09-16,10,15700.0,15775.0,15200.0,15650.0,14778.438477,1176700.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-19,13,15500.0,16175.0,15500.0,16025.0,15132.554688,1412900.0,GOOD,"(1, 31]"
AALI,AUTO,2016-09-20,14,16075.0,16275.0,15800.0,16125.0,15226.985352,2101000.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-21,15,16125.0,16150.0,15900.0,16050.0,15156.162109,868200.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-22,16,16100.0,16225.0,15600.0,15625.0,14754.830078,1826200.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-23,17,15450.0,15900.0,15400.0,15450.0,14589.577148,1835300.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-26,20,15550.0,15650.0,15475.0,15550.0,14684.007813,1314700.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-27,21,15500.0,15575.0,15225.0,15300.0,14447.930664,2764400.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-28,22,15300.0,15300.0,14875.0,14925.0,14185.603516,3770700.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-29,23,15175.0,15175.0,14975.0,15000.0,14256.887695,1605000.0,BAD,"(1, 31]"
AALI,AUTO,2016-09-30,24,15000.0,15100.0,14800.0,14825.0,14090.557617,1137200.0,BAD,"(1, 31]"
AALI,AUTO,2016-10-03,27,14900.0,15075.0,14900.0,15000.0,14256.887695,2037300.0,BAD,"(1, 31]"
AALI,AUTO,2016-10-04,28,15025.0,15175.0,15000.0,15025.0,14280.649414,1456700.0,BAD,"(1, 31]"
AALI,AUTO,2016-10-05,29,15075.0,15100.0,14925.0,15000.0,14256.887695,1820700.0,BAD,"(1, 31]"
AALI,AUTO,2016-10-06,30,15025.0,15075.0,14950.0,15000.0,14256.887695,827900.0,BAD,"(1, 31]"
AALI,AUTO,2016-10-07,31,15000.0,15450.0,14950.0,15325.0,14565.787109,3017600.0,GOOD,"(1, 31]"
AALI,AUTO,2016-10-10,34,15325.0,15400.0,15200.0,15200.0,14446.980469,1332400.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-11,35,15175.0,15300.0,15100.0,15125.0,14375.695313,1689700.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-12,36,15250.0,15325.0,14950.0,15000.0,14256.887695,2254100.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-13,37,15175.0,15175.0,14775.0,14775.0,14043.035156,2387500.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-14,38,14775.0,15075.0,14725.0,15075.0,14328.171875,979300.0,GOOD,"(31, 61]"
AALI,AUTO,2016-10-17,41,15100.0,15725.0,15000.0,15675.0,14898.448242,5597500.0,GOOD,"(31, 61]"
AALI,AUTO,2016-10-18,42,15800.0,16025.0,15800.0,15950.0,15159.824219,4221900.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-19,43,15850.0,15900.0,15700.0,15800.0,15017.254883,1812100.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-20,44,15800.0,15800.0,15400.0,15475.0,14708.356445,912200.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-21,45,15450.0,15525.0,14600.0,14600.0,13876.704102,2926000.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-24,48,14950.0,15500.0,14950.0,15325.0,14565.787109,1724400.0,GOOD,"(31, 61]"
AALI,AUTO,2016-10-25,49,15575.0,15850.0,15550.0,15600.0,14827.163086,1872700.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-26,50,15525.0,15650.0,15375.0,15600.0,14827.163086,843000.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-27,51,15750.0,15800.0,15400.0,15625.0,14850.924805,1330000.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-28,52,15800.0,15800.0,15450.0,15525.0,14755.878906,1049700.0,BAD,"(31, 61]"
AALI,AUTO,2016-10-31,55,15550.0,15575.0,15175.0,15250.0,14494.50293,969700.0,BAD,"(31, 61]"
AALI,AUTO,2016-11-01,56,15250.0,15450.0,14875.0,15000.0,14256.887695,2152600.0,BAD,"(31, 61]"
AALI,AUTO,2016-11-02,57,15125.0,15125.0,14750.0,14750.0,14019.273438,3025800.0,BAD,"(31, 61]"
AALI,AUTO,2016-11-03,58,14900.0,15050.0,14575.0,14625.0,13900.46582,1766500.0,BAD,"(31, 61]"
AALI,AUTO,2016-11-04,59,14625.0,14825.0,14450.0,14775.0,14043.035156,1677600.0,GOOD,"(31, 61]"
AALI,AUTO,2016-11-07,62,14825.0,15050.0,14750.0,15000.0,14256.887695,1476700.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-08,63,15100.0,15400.0,15000.0,15325.0,14565.787109,2162300.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-09,64,15325.0,15350.0,14825.0,15125.0,14375.695313,1833600.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-10,65,15175.0,15500.0,15150.0,15425.0,14660.833008,1706200.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-11,66,15300.0,15900.0,14925.0,15725.0,14945.970703,9180200.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-14,69,15900.0,16075.0,15475.0,15850.0,15064.777344,6768400.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-15,70,15675.0,15675.0,15000.0,15200.0,14446.980469,1999700.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-16,71,14900.0,15350.0,14900.0,15325.0,14565.787109,1366600.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-17,72,15325.0,15650.0,15200.0,15500.0,14732.117188,2570100.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-18,73,15500.0,15575.0,15200.0,15200.0,14446.980469,526000.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-21,76,15400.0,15400.0,14900.0,15175.0,14423.217773,948100.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-22,77,15250.0,15325.0,15025.0,15200.0,14446.980469,1659600.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-23,78,15325.0,15750.0,15200.0,15600.0,14827.163086,2755800.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-24,79,15750.0,16675.0,15725.0,16600.0,15777.623047,8932900.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-25,80,16675.0,16950.0,16625.0,16625.0,15801.383789,2919300.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-28,83,16625.0,17075.0,16350.0,16850.0,16015.238281,3461400.0,GOOD,"(61, 91]"
AALI,AUTO,2016-11-29,84,16850.0,17450.0,16800.0,17000.0,16157.806641,4456500.0,BAD,"(61, 91]"
AALI,AUTO,2016-11-30,85,16975.0,16975.0,16450.0,16550.0,15730.098633,1763100.0,BAD,"(61, 91]"
AALI,AUTO,2016-12-01,86,16850.0,16975.0,16550.0,16700.0,15872.667969,1161600.0,BAD,"(61, 91]"
AALI,AUTO,2016-12-02,87,16825.0,17475.0,16825.0,17300.0,16442.943359,3109900.0,GOOD,"(61, 91]"
AALI,AUTO,2016-12-05,90,17200.0,17600.0,16950.0,17600.0,16728.082031,2192100.0,GOOD,"(61, 91]"
AALI,AUTO,2016-12-06,91,17650.0,17950.0,17650.0,17800.0,16918.173828,2007800.0,BAD,"(61, 91]"
AALI,AUTO,2016-12-07,92,17900.0,17900.0,17500.0,17725.0,16846.888672,1436700.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-08,93,17500.0,17650.0,17200.0,17575.0,16704.318359,1883600.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-09,94,17500.0,17500.0,17350.0,17450.0,16585.511719,335500.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-13,98,17450.0,17450.0,17100.0,17125.0,16276.614258,884300.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-14,99,17150.0,17300.0,16800.0,16900.0,16062.759766,1246200.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-15,100,16900.0,17225.0,16675.0,17050.0,16205.329102,1579300.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-16,101,17250.0,17300.0,16900.0,17200.0,16347.897461,774900.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-19,104,17350.0,17400.0,17000.0,17000.0,16157.806641,1817700.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-20,105,17000.0,17000.0,16700.0,16800.0,15967.714844,519700.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-21,106,16800.0,16950.0,16700.0,16800.0,15967.714844,674700.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-22,107,16800.0,16800.0,16450.0,16575.0,15753.861328,1101800.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-23,108,16500.0,16600.0,16150.0,16300.0,15492.484375,992900.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-27,112,16300.0,17050.0,16300.0,17000.0,16157.806641,679100.0,GOOD,"(91, 121]"
AALI,AUTO,2016-12-28,113,17100.0,17250.0,17050.0,17125.0,16276.614258,1178300.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-29,114,17100.0,17300.0,17000.0,17250.0,16395.421875,909300.0,BAD,"(91, 121]"
AALI,AUTO,2016-12-30,115,17250.0,17250.0,16725.0,16775.0,15943.952148,766200.0,BAD,"(91, 121]"
AALI,AUTO,2017-01-02,118,16775.0,16775.0,16775.0,16775.0,15943.952148,0.0,BAD,"(91, 121]"
AALI,AUTO,2017-01-03,119,16900.0,17125.0,16600.0,16600.0,15777.623047,1039400.0,BAD,"(91, 121]"
AALI,AUTO,2017-01-04,120,16700.0,16850.0,16150.0,16325.0,15516.246094,2495900.0,BAD,"(91, 121]"
AALI,AUTO,2017-01-05,121,16325.0,16450.0,16225.0,16350.0,15540.007813,1107200.0,BAD,"(91, 121]"
AALI,AUTO,2017-01-06,122,16350.0,16575.0,16325.0,16375.0,15563.769531,875300.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-09,125,16425.0,16800.0,16350.0,16700.0,15872.667969,1071100.0,GOOD,"(121, 151]"
AALI,AUTO,2017-01-10,126,16800.0,16925.0,16725.0,16875.0,16038.998047,835100.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-11,127,16825.0,17050.0,16700.0,17000.0,16157.806641,1690200.0,GOOD,"(121, 151]"
AALI,AUTO,2017-01-12,128,17000.0,17175.0,16850.0,17175.0,16324.135742,1200700.0,GOOD,"(121, 151]"
AALI,AUTO,2017-01-13,129,17175.0,17200.0,16575.0,16800.0,15967.714844,1508500.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-16,132,16800.0,16900.0,16525.0,16625.0,15801.383789,383200.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-17,133,16625.0,16800.0,16475.0,16600.0,15777.623047,670800.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-18,134,16700.0,17000.0,16600.0,16625.0,15801.383789,1869300.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-19,135,16625.0,16775.0,16450.0,16500.0,15682.576172,1152400.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-20,136,16500.0,16575.0,16050.0,16200.0,15397.438477,2168700.0,BAD,"(121, 151]"
AALI,AUTO,2017-01-23,139,16225.0,16500.0,16025.0,16100.0,15302.392578,990400.0,BAD,"(121, 151]"
